AREA_NAME,YEAR,CATEGORY,POLICE_INJURED_BY_CRIMINALS,POLICE_INJURED_BY_RIOTOUS_MOBS,POLICE_INJURED_IN_ACCIDENTS,POLICE_INJURED_IN_DACOITY_OPERATIONSOTHER_RAIDS,POLICE_INJURED_IN_TERRORISTSEXTREMISTS_OPERATIONS,POLICE_INJURED_ON_BORDER_DUTIES,TOTAL_POLICEMEN_INJURED,POLICE_KILLED_BY_CRIMINALS,POLICE_KILLED_BY_RIOTOUS_MOBS,POLICE_KILLED_IN_ACCIDENTS,POLICE_KILLED_IN_DACOITY_OPERATIONSOTHER_RAIDS,POLICE_KILLED_IN_TERRORISTSEXTREMISTS_OPERATIONS,POLICE_KILLED_ON_BORDER_DUTIES,TOTAL_POLICEMEN_KILLED
JHARKHAND,2001, CONSTABLES,0,0,2,3,20,0,25,9,0,3,2,18,0,32
KARNATAKA,2001, CONSTABLES,6,93,20,0,0,4,123,1,1,5,1,0,0,8
KERALA,2001, CONSTABLES,72,159,15,3,0,0,249,0,0,1,1,0,0,2
LAKSHADWEEP,2001, CONSTABLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,2001, CONSTABLES,23,57,11,0,0,0,91,2,0,4,0,0,0,6
MAHARASHTRA,2001, CONSTABLES,40,328,53,28,0,0,449,1,0,32,0,1,0,34
MANIPUR,2001, CONSTABLES,0,0,0,4,0,0,4,0,0,2,1,1,0,4
MEGHALAYA,2001, CONSTABLES,1,0,0,4,0,0,5,5,0,0,5,0,0,10
MIZORAM,2001, CONSTABLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2001, CONSTABLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2001, CONSTABLES,6,12,4,3,17,0,42,0,0,4,0,3,0,7
PUDUCHERRY,2001, CONSTABLES,6,6,0,0,0,0,12,0,0,0,0,0,0,0
PUNJAB,2001, CONSTABLES,0,0,4,0,0,0,4,3,0,62,0,0,0,65
RAJASTHAN,2001, CONSTABLES,56,70,14,2,0,0,142,0,0,20,0,0,0,20
SIKKIM,2001, CONSTABLES,0,0,1,0,0,0,1,0,0,2,0,0,0,2
TAMIL NADU,2001, CONSTABLES,10,50,62,10,0,0,132,0,1,7,0,1,0,9
TRIPURA,2001, CONSTABLES,0,0,0,0,13,0,13,0,0,0,0,10,0,10
UTTAR PRADESH,2001, CONSTABLES,78,49,30,7,0,0,164,14,0,26,5,0,0,45
UTTARAKHAND,2001, CONSTABLES,0,3,0,0,0,0,3,0,0,7,0,0,0,7
WEST BENGAL,2001, CONSTABLES,13,113,124,19,0,0,269,3,0,8,0,0,0,11
ANDAMAN & NICOBAR ISLANDS,2001, HEAD CONSTABLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2001, HEAD CONSTABLES,0,26,7,6,10,0,49,0,0,6,0,5,0,11
ARUNACHAL PRADESH,2001, HEAD CONSTABLES,0,3,0,0,0,0,3,0,0,1,0,0,0,1
ASSAM,2001, HEAD CONSTABLES,0,1,0,1,5,0,7,0,0,0,2,0,0,2
BIHAR,2001, HEAD CONSTABLES,0,0,0,0,12,0,12,0,0,0,0,4,0,4
CHANDIGARH,2001, HEAD CONSTABLES,0,0,3,0,0,0,3,0,0,1,0,0,0,1
CHHATTISGARH,2001, HEAD CONSTABLES,0,0,0,0,2,0,2,0,0,5,0,0,0,5
DADRA & NAGAR HAVELI,2001, HEAD CONSTABLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2001, HEAD CONSTABLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2001, HEAD CONSTABLES,17,12,6,1,2,0,38,0,0,15,0,3,0,18
GOA,2001, HEAD CONSTABLES,0,0,0,0,0,0,0,0,0,1,0,0,0,1
GUJARAT,2001, HEAD CONSTABLES,3,5,9,0,0,0,17,3,0,6,0,0,0,9
HARYANA,2001, HEAD CONSTABLES,0,4,2,0,0,0,6,0,0,3,0,0,0,3
HIMACHAL PRADESH,2001, HEAD CONSTABLES,0,9,0,0,0,0,9,0,0,1,0,0,0,1
JAMMU & KASHMIR,2001, HEAD CONSTABLES,3,4,0,0,23,0,30,0,0,1,0,13,0,14
JHARKHAND,2001, HEAD CONSTABLES,0,0,0,0,2,0,2,2,0,2,0,0,0,4
KARNATAKA,2001, HEAD CONSTABLES,2,38,7,0,0,1,48,0,0,5,0,0,0,5
KERALA,2001, HEAD CONSTABLES,11,34,7,0,0,0,52,0,0,1,0,0,0,1
LAKSHADWEEP,2001, HEAD CONSTABLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,2001, HEAD CONSTABLES,11,14,5,0,0,0,30,0,0,2,0,0,0,2
MAHARASHTRA,2001, HEAD CONSTABLES,6,68,18,12,0,0,104,1,1,15,0,0,0,17
MANIPUR,2001, HEAD CONSTABLES,0,0,0,0,1,0,1,0,0,0,0,0,0,0
MEGHALAYA,2001, HEAD CONSTABLES,0,0,0,0,0,0,0,0,0,0,1,0,0,1
MIZORAM,2001, HEAD CONSTABLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2001, HEAD CONSTABLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,2001, HEAD CONSTABLES,9,1,2,0,2,0,14,0,0,1,0,1,0,2
PUDUCHERRY,2001, HEAD CONSTABLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,2001, HEAD CONSTABLES,0,0,2,0,0,0,2,4,0,18,0,0,0,22
RAJASTHAN,2001, HEAD CONSTABLES,4,17,3,1,0,0,25,0,0,4,0,0,0,4
SIKKIM,2001, HEAD CONSTABLES,0,0,1,0,0,0,1,0,0,0,0,0,0,0
TAMIL NADU,2001, HEAD CONSTABLES,10,25,47,9,0,0,91,0,0,21,0,0,0,21
TRIPURA,2001, HEAD CONSTABLES,0,0,2,0,5,0,7,0,0,1,0,4,0,5
UTTAR PRADESH,2001, HEAD CONSTABLES,6,3,3,1,1,0,14,2,0,2,0,0,0,4
UTTARAKHAND,2001, HEAD CONSTABLES,0,1,0,0,0,0,1,0,0,0,0,0,0,0
WEST BENGAL,2001, HEAD CONSTABLES,2,5,8,2,0,0,17,0,0,1,0,0,0,1
ANDAMAN & NICOBAR ISLANDS,2001, INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2001, INSPECTORS,0,14,1,0,1,0,16,0,0,0,0,2,0,2
ARUNACHAL PRADESH,2001, INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,2001, INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,2001, INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,2001, INSPECTORS,0,0,1,0,0,0,1,0,0,0,0,0,0,0
CHHATTISGARH,2001, INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DADRA & NAGAR HAVELI,2001, INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2001, INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,2001, INSPECTORS,1,4,2,0,0,0,7,0,0,1,0,0,0,1
GOA,2001, INSPECTORS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,2001, INSPECTORS,0,2,1,0,0,0,3,0,0,3,0,0,0,3
HARYANA,2001, INSPECTORS,0,1,0,0,0,0,1,0,0,0,0,0,0,0
